District,Suburbs,Max Results
Reinickendorf,"[('Tegel', 182), ('Hermsdorf', 140)]",17
Reinickendorf,"[('Marienfelde', 161), ('Waidmannslust', 186), ('Reinickendorf', 173), ('Wittenau', 193)]",63
Reinickendorf,"[('Frohnau', 133)]",10
Neukölln,"[('Neukölln', 165), ('Gropiusstadt', 85081), ('Buckow', 125)]",492
Neukölln,"[('Britz', 122), ('Rudow', 175)]",22
Charlottenburg-Wilmersdorf,"[('Wilmersdorf', 192), ('Charlottenburg', 126), ('Halensee', 85083), ('Grunewald', 136)]",0
Charlottenburg-Wilmersdorf,"[('Wilmersdorf', 192), ('Charlottenburg', 126), ('Halensee', 85083), ('Grunewald', 136)]",0
Charlottenburg-Wilmersdorf,"[('Wilmersdorf', 192), ('Charlottenburg', 126), ('Halensee', 85083), ('Grunewald', 136)]",0
Charlottenburg-Wilmersdorf,"[('Wilmersdorf', 192), ('Charlottenburg', 126), ('Halensee', 85083), ('Grunewald', 136)]",0
Charlottenburg-Wilmersdorf,"[('Wilmersdorf', 192), ('Charlottenburg', 126), ('Halensee', 85083), ('Grunewald', 136)]",0
Charlottenburg-Wilmersdorf,"[('Wilmersdorf', 192), ('Charlottenburg', 126), ('Halensee', 85083), ('Grunewald', 136)]",0
Charlottenburg-Wilmersdorf,"[('Wilmersdorf', 192), ('Charlottenburg', 126), ('Halensee', 85083), ('Grunewald', 136)]",0
Charlottenburg-Wilmersdorf,"[('Wilmersdorf', 192), ('Charlottenburg', 126), ('Halensee', 85083), ('Grunewald', 136)]",0
Charlottenburg-Wilmersdorf,"[('Wilmersdorf', 192), ('Charlottenburg', 126), ('Halensee', 85083), ('Grunewald', 136)]",0
Charlottenburg-Wilmersdorf,"[('Wilmersdorf', 192), ('Charlottenburg', 126), ('Halensee', 85083), ('Grunewald', 136)]",207
Charlottenburg-Wilmersdorf,"[('Schmöckwitz', 177), ('Charlottenburg-Wilmersdorf', 85077)]",68
Steglitz-Zehlendorf,"[('Nikolassee', 168), ('Steglitz-Zehlendorf', 85093), ('Dahlem', 127)]",28
Steglitz-Zehlendorf,"[('Schmargendorf', 176), ('Lankwitz', 152)]",26
Steglitz-Zehlendorf,"[('Zehlendorf', 194)]",30
Steglitz-Zehlendorf,"[('Wannsee', 187), ('Lichterfelde', 155)]",30
Tempelhof-Schöneberg,"[('Mariendorf', 160), ('Siemensstadt', 179), ('Tempelhof', 183), ('Lichtenrade', 154)]",74
Tempelhof-Schöneberg,"[('Friedenau', 129), ('Tempelhof-Schöneberg', 85094)]",77
Friedrichshain-Kreuzberg,"[('Friedrichshain', 132), ('Friedrichshain-Kreuzberg', 85079), ('Kreuzberg', 151)]",722
Spandau,"[('Spandau', 180), ('Pichelsdorf', 85088), ('Hakenfelde', 85082), ('Gatow', 134)]",36
Spandau,"[('Kladow', 148)]",7
Spandau,"[('Staaken', 85091), ('Stadtrandsiedlung Malchow', 85092)]",10
Spandau,"[('Wilhelmstadt', 85096)]",8
Mitte,"[('Moabit', 85086), ('Mitte', 163), ('Gesundbrunnen', 85080), ('Wedding', 189)]",612
Mitte,"[('Tiergarten', 184)]",34
Treptow-Köpenick,"[('Johannisthal', 143), ('Köpenick', 150)]",41
Treptow-Köpenick,"[('Müggelheim', 164)]",7
Treptow-Köpenick,"[('Wilhelmshagen', 191), ('Karolinenhof', 145)]",7
Treptow-Köpenick,"[('Oberschöneweide', 169), ('Bohnsdorf', 120), ('Altglienicke', 115), ('Hessenwinkel', 141)]",45
Treptow-Köpenick,"[('Friedrichshagen', 131), ('Plänterwald', 85089)]",18
Treptow-Köpenick,"[('Rahnsdorf', 172), ('Adlershof', 114), ('Baumschulenweg', 116), ('Treptow', 185)]",73
Treptow-Köpenick,"[('Schöneberg', 178), ('Grünau', 135), ('Niederschöneweide', 166)]",177
Lichtenberg,"[('Hohenschönhausen', 142), ('Neu-Hohenschönhausen', 85087)]",0
Lichtenberg,"[('Hohenschönhausen', 142), ('Neu-Hohenschönhausen', 85087)]",11
Lichtenberg,"[('Alt-Hohenschönhausen', 85076), ('Rummelsburg', 85090), ('Friedrichsfelde', 130), ('Malchow', 158)]",41
Lichtenberg,"[('Wartenberg', 188), ('Karlshorst', 144)]",23
Lichtenberg,"[('Falkenberg', 128)]",9
Lichtenberg,"[('Lichtenberg', 153)]",113
Marzahn-Hellersdorf,"[('Mahlsdorf', 157), ('Biesdorf', 117), ('Marzahn-Hellersdorf', 85085), ('Kaulsdorf', 147)]",29
Marzahn-Hellersdorf,"[('Hellersdorf', 139), ('Marzahn', 162)]",0
Marzahn-Hellersdorf,"[('Hellersdorf', 139), ('Marzahn', 162)]",0
Marzahn-Hellersdorf,"[('Hellersdorf', 139), ('Marzahn', 162)]",0
Marzahn-Hellersdorf,"[('Hellersdorf', 139), ('Marzahn', 162)]",0
Marzahn-Hellersdorf,"[('Hellersdorf', 139), ('Marzahn', 162)]",0
Marzahn-Hellersdorf,"[('Hellersdorf', 139), ('Marzahn', 162)]",0
Marzahn-Hellersdorf,"[('Hellersdorf', 139), ('Marzahn', 162)]",0
Marzahn-Hellersdorf,"[('Hellersdorf', 139), ('Marzahn', 162)]",0
Marzahn-Hellersdorf,"[('Hellersdorf', 139), ('Marzahn', 162)]",0
Marzahn-Hellersdorf,"[('Hellersdorf', 139), ('Marzahn', 162)]",0
Marzahn-Hellersdorf,"[('Hellersdorf', 139), ('Marzahn', 162)]",0
